"AppName","AppURL"
"Britannica School","https://chrome.google.com/webstore/detail/hkalcoajnogkgpdlijdeaglmbndgolac"
"Screen capture, screenshot share/save","https://chrome.google.com/webstore/detail/cjbjepchlgclmpinlbbeinajphohgfod"
"Dashlane Secure Password Manager","https://chrome.google.com/webstore/detail/fdjamakpfbbddfjaooikfcpapjohcfmg"
"Better History","https://chrome.google.com/webstore/detail/obciceimmggglbmelaidpjlmodcebijb"
"Todoist: To-Do list and Task Manager","https://chrome.google.com/webstore/detail/jldhpllghnbhlbpcmnajkpdmadaolakh"
"Securly for Chromebooks","https://chrome.google.com/webstore/detail/iheobagjkfklnlikgihanlhcddjoihkg"
"Mindomo Bookmarks","https://chrome.google.com/webstore/detail/ghabekkoaicdmfgggmocafcdllmdhamb"
"Boomerang Calendar","https://chrome.google.com/webstore/detail/annmcneienljahlbfoaomcfghmomhfho"
"Newsela","https://chrome.google.com/webstore/detail/bfpeiapdhnegnfcfkdfihabadngjagfj"
"Cloudy Calculator 2","https://chrome.google.com/webstore/detail/gpnjkkgajfmdmbbpadigjlhpkaopfccl"
"Grammarly for Chrome","https://chrome.google.com/webstore/detail/kbfnbcaeplbcioakkpcpgfkobkghlhen"
"AgroMod: The Only Agar.io Merge Timer","https://chrome.google.com/webstore/detail/kekfokjeliilaipagomdhmlfhbmpllkk"
"Search by appIcon (by Google)","https://chrome.google.com/webstore/detail/dajedkncpodkggklbegccjpmnglmnflm"
"Collabrify Writer","https://chrome.google.com/webstore/detail/loiihjjfbgbngkdepdnbkdilncjcljhh"
"Drive Notepad","https://chrome.google.com/webstore/detail/gpgjomejfimnbmobcocilppikhncegaj"
"Bible","https://chrome.google.com/webstore/detail/adplcelpohamiijahbaanmoimmnoaiaf"
"Weebly Dashboard Extension","https://chrome.google.com/webstore/detail/fkhpeihpgdipchpfmddkfcigllaaiaki"
"Google Tone","https://chrome.google.com/webstore/detail/nnckehldicaciogcbchegobnafnjkcne"
"G Suite Training","https://chrome.google.com/webstore/detail/idkloemkmldbemijiamdiolojbffnjlh"
"Text Fu","https://chrome.google.com/webstore/detail/fpcnbmimljhenhnjfgnibddhffpncmch"
"Sales Documents Generation for Pipedrive","https://chrome.google.com/webstore/detail/ocmcjmdbdheghfhkcflmghcjecnebamg"
"Adblock Plus","https://chrome.google.com/webstore/detail/cfhdojbkjhnklbpkdaibdccddilifddb"
"LaTeX, Desmos, and PDF extension","https://chrome.google.com/webstore/detail/kkecifdokfegdcdmejfpambcjfppaing"
"Smartsheet Web Forms","https://chrome.google.com/webstore/detail/pgpocnooohebkdhaegknphcjifcnhneg"
"The QR Code Extension","https://chrome.google.com/webstore/detail/oijdcdmnjjgnnhgljmhkjlablaejfeeb"
"Web Timer","https://chrome.google.com/webstore/detail/ggnjbdfgigejghknieofeahaknkjafim"
"DynaMath","https://chrome.google.com/webstore/detail/fphbkjolhcfhkfkcdjmjiakckdpcmggd"
"Clipboard History","https://chrome.google.com/webstore/detail/hmgejlbbhlgnknnnhfligmjalffljbno"
"Right Inbox for Gmail","https://chrome.google.com/webstore/detail/mflnemhkomgploogccdmcloekbloobgb"
"scrible Toolbar","https://chrome.google.com/webstore/detail/lijhjhlnfifgoabbihoobnfapogkcjgk"
"Diigo Web Collector - Capture and Annotate","https://chrome.google.com/webstore/detail/pnhplgjpclknigjpccbcnmicgcieojbh"
"Learn States and Capitals","https://chrome.google.com/webstore/detail/cdblkfkcegbngjbibiefbjbeofmbgonk"
"Marker: Screen capture tool for professionals","https://chrome.google.com/webstore/detail/jofhoojcehdmaiibilpcoofpdbbddkkl"
"Canva","https://chrome.google.com/webstore/detail/mbcfmcoibkecmionmehabndbljdleekf"
"PowerSearch","https://chrome.google.com/webstore/detail/dgfenkapnckkimbcoehldnlmaeikbgej"
"Send from Gmail (by Google)","https://chrome.google.com/webstore/detail/pgphcomnlaojlmmcjmiddhdapjpbgeoc"
"GoAnimate for Schools","https://chrome.google.com/webstore/detail/hgjpaebfogajhndljeplcmjicfjcdddf"
"Google Hangouts","https://chrome.google.com/webstore/detail/nckgahadagoaajjgafhacjanaoiihapd"
"Gmail","https://chrome.google.com/webstore/detail/pjkljhegncpnkpknbcohdijeoejaedia"
"StudyMode.com","https://chrome.google.com/webstore/detail/afhaomgjckjnioommpjdnanglalimoon"
"Tynker for Educators","https://chrome.google.com/webstore/detail/kkepmjblejjegpnbpkdgpemmfhggdien"
"Readable Project Gutenberg","https://chrome.google.com/webstore/detail/ikeknfmhjbljoochjhkgcffkpmigpjel"
"Goobric Web App Launcher","https://chrome.google.com/webstore/detail/cepmakjlanepojocakadfpohnhhalfol"
"countDown","https://chrome.google.com/webstore/detail/fefdcjabloofphhfcinhfbinmehfcojm"
"Music Player for Google Drive","https://chrome.google.com/webstore/detail/hnfeekfpnjbdmelcapngdgkjnhgijjkh"
"Tag Assistant (by Google)","https://chrome.google.com/webstore/detail/kejbdjndbnbjgmefkgdddjlbokphdefk"
"Bookshare Web Reader","https://chrome.google.com/webstore/detail/bkfmjmjngglphchhiemnghidpnddofmo"
"Documents Automation for Zoho CRM","https://chrome.google.com/webstore/detail/aigpcnlodbpopdjddjmkdjbedpjpjnij"
"Cloud QRcode Barcode Scanner, Reader","https://chrome.google.com/webstore/detail/enchgplbfgffjcekcnbjhgjbhipbbcfj"
"Edmodo","https://chrome.google.com/webstore/detail/ohpppancgeopfjndlaodikbinmkepfml"
"Share with Fluency Tutor","https://chrome.google.com/webstore/detail/nhkfdlkhjojdoggilphgbncejkmdobfp"
"scrible Edu","https://chrome.google.com/webstore/detail/hhfooagkdedpckocodgiikdkjbnkkfif"
"Translator","https://chrome.google.com/webstore/detail/blndkmebkmenignoajhoemebccmmfjib"
"Calculus Center","https://chrome.google.com/webstore/detail/lbicbolplddfmcpniniinbmdkicbgnna"
"Screen Capture, Screenshot & Record - Bukket ","https://chrome.google.com/webstore/detail/bgkknpjjkdiodnjnkkabgnkfdhcokden"
"Talking Timer - Custom Speaking Timer","https://chrome.google.com/webstore/detail/cbbmoeglgokhkbnnfpoeciheapicdphm"
"VexTab Music Notation","https://chrome.google.com/webstore/detail/npcffdibegeppkebphaghnpkcjcpopjf"
"Pixlr Editor","https://chrome.google.com/webstore/detail/icmaknaampgiegkcjlimdiidlhopknpk"
"Blender on rollApp","https://chrome.google.com/webstore/detail/bdacondcffpkfgognbcfgeflmeiioiec"
"Zoho Wiki","https://chrome.google.com/webstore/detail/ninbinkhmpdpafinhodhamlmhgipcnge"
"Bible Search","https://chrome.google.com/webstore/detail/enlaminhpdcdeemcnfnecpjbafhhajff"
"Documents Automation for Capsule CRM","https://chrome.google.com/webstore/detail/mlfehdjkiefoniknjjbgbifndcpoeeln"
"HUMAN 3.0","https://chrome.google.com/webstore/detail/meefjekipolcgabfgaclcpdkbghhmoah"
"Google Scholar Button","https://chrome.google.com/webstore/detail/ldipcbpaocekfooobnbcddclnhejkcpn"
"MeisterTask","https://chrome.google.com/webstore/detail/klffkpfdfjoefeolelhjkojljdoidoae"
